"","X","chunkNo","seed","reps","n_bar","J","alpha","type","p","s","default","cov_x","scale","base_mean_x","sigma_x","mean_r","sigma_r","snr","mean_noise","sigma_noise","mean_adj_r_squared","mean_agreement","mean_y_rmse_fixed","mean_beta_rmse_fixed","mean_sensitivity_fixed","mean_specificity_fixed","mean_precision_fixed","mean_recall_fixed","mean_F1_fixed","mean_y_rmse_mixed","mean_beta_rmse_mixed","mean_sensitivity_mixed","mean_specificity_mixed","mean_precision_mixed","mean_recall_mixed","mean_F1_mixed","sd_adj_r_squared","sd_agreement","sd_y_rmse_fixed","sd_beta_rmse_fixed","sd_sensitivity_fixed","sd_specificity_fixed","sd_precision_fixed","sd_recall_fixed","sd_F1_fixed","sd_y_rmse_mixed","sd_beta_rmse_mixed","sd_sensitivity_mixed","sd_specificity_mixed","sd_precision_mixed","sd_recall_mixed","sd_F1_mixed"
"1",1,1,1018,20,50,5,0.5,1,12,4,1,0.25,1,0,1,0,2,0.8,0,1,0.370519903717909,0.679166666666667,11.4970193053111,0.489099142949682,0.8875,0.39375,0.431847041847042,0.8875,0.576606726606727,11.3374813461745,0.598669096543938,0.9875,0.0375,0.343181818181818,0.9875,0.506666666666667,0.0408920010541266,0.121741145192365,3.27178023055136,0.111567787995478,0.151201329707325,0.178051404463933,0.0914143741415111,0.151201329707325,0.100847582596162,3.24523449419976,0.154752267548963,0.0559016994374947,0.141072023411709,0.0375262703400862,0.0559016994374947,0.023195079131282
"2",1,1,1068,20,50,5,0.5,2,12,4,1,0.25,1,0,1,0,2,0.8,0,1,0.356867327969605,0.741666666666667,10.7694135914032,0.445478688745537,0.9,0.33125,0.41390873015873,0.9,0.563431568431568,10.5714901931842,0.526760013137276,1,0.00625,0.334848484848485,1,0.501666666666667,0.0536629636868073,0.123603308118261,3.04744826398718,0.0868685896606647,0.14956076040403,0.199814881433054,0.101498637186117,0.14956076040403,0.11611649072228,2.98511585703987,0.123919736348799,0,0.0279508497187474,0.00677596356818119,0,0.0074535599249993
"3",1,1,1118,20,50,5,0.5,3,12,4,1,0.25,1,0,1,0,2,0.8,0,1,0.380809201941814,0.7,38.8662306204443,2.41725468050928,0.8625,0.36875,0.414713203463203,0.8625,0.556834831834832,38.2309108717112,2.62414102775773,1,0.0125,0.336363636363636,1,0.503333333333333,0.0395574704979874,0.125073078053597,10.2427804359907,0.351449457567503,0.12760444638351,0.178972763290954,0.0767583873433483,0.12760444638351,0.0880686398317192,10.0027085478692,0.414982459002371,0,0.0384741882031933,0.00932707592804686,0,0.0102597835208515
"4",1,1,1168,20,50,5,0.5,4,12,4,1,0.25,1,0,1,0,2,0.8,0,1,0.185214487887235,0.604166666666667,18.1662641064658,2.87086320405544,0.8875,0.55,0.533169191919192,0.8875,0.650238927738928,17.9322447085986,2.70953138850186,0.875,0.1625,0.369861111111111,0.875,0.502490842490843,0.0458248022061262,0.205684920569563,0.852179464588185,0.328603570724126,0.12760444638351,0.254563610083899,0.132771075542247,0.12760444638351,0.095141666797176,0.81365178052459,0.406975773318909,0.151744244666721,0.253592607396816,0.157571844301624,0.151744244666721,0.104356234057098
"5",1,1,1218,20,50,5,0.5,5,12,4,1,0.25,1,0,1,0,2,0.8,0,1,0.368896650932122,0.733333333333333,10.9785107755446,0.523111722270935,0.733333333333333,NA,1,0.733333333333333,0.841010431216381,10.7684806473928,0.622391167161022,1,NA,1,1,1,0.0552352115773678,0.119697474409935,2.57477536475322,0.108357362329121,0.119697474409935,NA,0,0.119697474409935,0.0785318125157976,2.5045143174138,0.15083909062218,0,NA,0,0,0
"6",1,1,1268,20,50,5,0.5,1,12,4,1,0.25,1,0,1,0,2,1,0,1,0.412803920789283,0.708333333333333,10.0029792472672,0.490297350113293,0.8375,0.35,0.398457792207792,0.8375,0.535842490842491,9.81410310279384,0.582556123205172,0.9875,0.05,0.35,0.9875,0.511904761904762,0.0437809600277258,0.12536496428032,2.60324312487971,0.125972251558399,0.1467857371531,0.160180818879297,0.0755160484534313,0.1467857371531,0.0836864050315799,2.57546053703137,0.177109242207166,0.0559016994374947,0.173963093484615,0.0606976978666884,0.0559016994374947,0.0397659941168482
"7",1,1,1318,20,50,5,0.5,2,12,4,1,0.25,1,0,1,0,2,1,0,1,0.399930037350687,0.75,9.74962141350961,0.482224360449738,0.95,0.35625,0.432732683982684,0.95,0.59041625041625,9.54928544937258,0.577172161208024,1,0.01875,0.338181818181818,1,0.505238095238095,0.06510425979772,0.129664434202583,3.51615011666924,0.135374672335472,0.130787090945149,0.173371179235401,0.0802331103663673,0.130787090945149,0.0861267273636958,3.46637061313777,0.193692340271709,0,0.0611700606161991,0.0160469081846925,0,0.0172663333702057
"8",1,1,1368,20,50,5,0.5,3,12,4,1,0.25,1,0,1,0,2,1,0,1,0.431502210558318,0.720833333333333,35.4267842781834,2.24697127208022,0.8625,0.35625,0.405550144300144,0.8625,0.548862803862804,34.9372961661942,2.43542618050565,1,0.01875,0.337878787878788,1,0.505,0.053118680714691,0.109073048112544,9.78691300365624,0.394555519131371,0.151201329707325,0.147762923559827,0.0708642353845188,0.151201329707325,0.0869146335646651,9.62236028369911,0.478169748062301,0,0.0457934435665654,0.0111014408646219,0,0.0122115849510841
"9",1,1,1418,20,50,5,0.5,4,12,4,1,0.25,1,0,1,0,2,1,0,1,0.19696158625496,0.608333333333333,16.7706621588636,2.89251728200757,0.8625,0.50625,0.50011544011544,0.8625,0.615780885780886,16.6333680306636,2.70141077102116,0.9375,0.16875,0.388106060606061,0.9375,0.531255411255411,0.0537604739052233,0.202506226891482,0.760895829867023,0.336377581462861,0.171583185288315,0.267404065433804,0.134318403208991,0.171583185288315,0.109591817199963,0.897415358913218,0.422498722512707,0.137529901055045,0.257374777932472,0.156387931902349,0.137529901055045,0.103208937390848
"10",1,1,1468,20,50,5,0.5,5,12,4,1,0.25,1,0,1,0,2,1,0,1,0.421004271955481,0.725,10.0229025464619,0.462327351354361,0.725,NA,1,0.725,0.833492420891802,9.81141511786998,0.565688772798387,1,NA,1,1,1,0.0475193435598201,0.135454616814541,2.80203248168199,0.175877779866078,0.135454616814541,NA,0,0.135454616814541,0.0955182096896209,2.74718749077335,0.203455030486969,0,NA,0,0,0
