"","chunkNo","seed","reps","n_bar","J","alpha","type","p","s","default","cov_x","scale","base_mean_x","sigma_x","mean_r","sigma_r","snr","mean_noise","sigma_noise","mean_adj_r_squared","mean_agreement","mean_icc","mean_y_rmse_fixed","mean_beta_rmse_fixed","mean_sensitivity_fixed","mean_specificity_fixed","mean_precision_fixed","mean_recall_fixed","mean_F1_fixed","mean_s_hat_fixed","mean_y_rmse_mixed","mean_beta_rmse_mixed","mean_sensitivity_mixed","mean_specificity_mixed","mean_precision_mixed","mean_recall_mixed","mean_F1_mixed","mean_s_hat_mixed","sd_adj_r_squared","sd_agreement","sd_icc","sd_y_rmse_fixed","sd_beta_rmse_fixed","sd_sensitivity_fixed","sd_specificity_fixed","sd_precision_fixed","sd_recall_fixed","sd_F1_fixed","sd_s_hat_fixed","sd_y_rmse_mixed","sd_beta_rmse_mixed","sd_sensitivity_mixed","sd_specificity_mixed","sd_precision_mixed","sd_recall_mixed","sd_F1_mixed","sd_s_hat_mixed"
"1",1,1001,20,3,168,0.333333333333333,4,185,81,1,0.05576108,0.75,0,1,0,4,0.3,0,1,0.249331087567044,0.555405405405405,0.234930537168309,443.232069039332,2.26558920804626,0.0716049382716049,0.933173076923077,0.44456954809896,0.0716049382716049,0.122508376809316,12.75,245.888903906305,26.6419152606187,0.506172839506173,0.504807692307692,0.443109876521075,0.506172839506173,0.472280160850439,92.5,0.0470777737920978,0.0295481328229002,0.0528889436206091,37.7113611738822,0.391084068783173,0.0361824739291381,0.0219430887426766,0.16747067576758,0.0361824739291381,0.0588533147521,3.05863746754903,28.0478677606012,3.18507332281424,0.0404532356498334,0.0312743209625109,0.0258678791395097,0.0404532356498334,0.0306294936994361,4.50146175089124
"2",1,118,20,3,168,0.333333333333333,4,185,81,1,0.05576108,0.75,0,1,0,1,1.28,0,1,0.551075045225742,0.647297297297297,0.496146144949888,52.9051257124829,0.920436393950366,0.289506172839506,0.796634615384615,0.526636136946443,0.289506172839506,0.372452895561748,44.6,31.2443102312629,3.42746488071726,0.522839506172839,0.531730769230769,0.465298927838772,0.522839506172839,0.492116604252899,91.05,0.0373955546743682,0.0376085309381178,0.0332783863598464,3.81801133097425,0.0658094318104641,0.0445084731191872,0.0377302698609585,0.0564060901426198,0.0445084731191872,0.0471758561278078,5.40370243444252,2.99544183307474,0.431770438708543,0.0435611821342651,0.0397188225471021,0.0339955196160229,0.0435611821342651,0.0365280669986629,4.4894613438468
"3",1,168,20,3,168,0.333333333333333,4,185,81,1,0.05576108,0.75,0,1,0,1.5,1.28,0,1,0.551178071391546,0.644594594594595,0.53176169847974,79.000442422015,1.09008685515747,0.219753086419753,0.818269230769231,0.487003103619411,0.219753086419753,0.301687151306007,36.7,46.5405331805185,4.91371073442983,0.515432098765432,0.530769230769231,0.460872682364408,0.515432098765432,0.486365776304403,90.55,0.0362669452661507,0.0384176266363401,0.0223115813246884,5.8184684932075,0.0867939186022496,0.038335480870955,0.0381949261347025,0.0685215190933805,0.038335480870955,0.0457233383041423,5.01681383475923,3.86143469451166,0.596556564748661,0.0570515495912228,0.0426148219024805,0.0433738093758216,0.0570515495912228,0.0484157890253696,4.34650494801949
"4",1,18,20,3,168,0.333333333333333,4,185,81,1,0.05576108,0.75,0,1,0,0,1.28,0,1,0.464125125045775,0.690540540540541,0.0116270201185962,18.7562335402506,0.586623127615118,0.385185185185185,0.827884615384615,0.635089360932011,0.385185185185185,0.478205514593065,49.1,11.6806153178867,1.25874753366377,0.554320987654321,0.601442307692308,0.519924886671379,0.554320987654321,0.536202874356669,86.35,0.0310422254857557,0.0391315119783341,0.0214384196541175,0.870632166171487,0.0305327228424363,0.0598947943486921,0.0344434551672988,0.0649751981856209,0.0598947943486921,0.0606428014791715,5.3103672189407,0.824790944573762,0.108722425159026,0.0492037041316683,0.0357706183614884,0.0355067941360639,0.0492037041316683,0.0396523755590657,4.60291669545117
"5",1,218,20,3,168,0.333333333333333,4,185,81,1,0.05576108,0.75,0,1,0,2,1.28,0,1,0.559787489577877,0.626756756756757,0.545755900167623,102.374567763731,1.24771836765507,0.191975308641975,0.8375,0.477119711720821,0.191975308641975,0.272619921742906,32.45,60.2070350887528,6.47035297806706,0.516666666666667,0.519711538461539,0.455701318181993,0.516666666666667,0.484053281046476,91.8,0.0270227175010116,0.0274770499543107,0.0259639857164491,6.12652060093701,0.0570310736556651,0.0467928750513194,0.0310243723321649,0.0806684878270018,0.0467928750513194,0.0576591299023387,4.8933359625214,4.39809686014204,0.811184302196765,0.048111480347923,0.0342415429072123,0.0343983971893181,0.048111480347923,0.0392233058507595,3.90141674671893
"6",1,268,20,3,168,0.333333333333333,4,185,81,1,0.05576108,0.75,0,1,0,2.5,1.28,0,1,0.557047840818006,0.610810810810811,0.544057838758799,127.681724409238,1.27759010635613,0.175925925925926,0.864903846153846,0.502091677802055,0.175925925925926,0.260024812918708,28.3,73.9260990590071,7.84397765644135,0.505555555555556,0.527403846153846,0.454751094965367,0.505555555555556,0.478604654749915,90.1,0.0246562824498161,0.02467738087306,0.0262263358369692,6.18616844236802,0.0626105938836957,0.0341934138262022,0.0219430887426766,0.0744879817158328,0.0341934138262022,0.0460063318355442,3.02794006754288,4.89295192353002,0.693146390020448,0.0363759496935205,0.0368164103238942,0.0306691286490449,0.0363759496935205,0.0318569548595872,3.85117890357854
"7",1,318,20,3,168,0.333333333333333,4,185,81,1,0.05576108,0.75,0,1,0,3,1.28,0,1,0.554950430186791,0.588378378378378,0.554452190668753,157.658842727765,1.41306837804047,0.15,0.876923076923077,0.492650421912756,0.15,0.228905033916904,24.95,91.1471027019346,9.52171142837974,0.519753086419753,0.5125,0.453263511455856,0.519753086419753,0.483943041984865,92.8,0.0242624632363071,0.0271844632200042,0.0275579787592333,5.64546408120965,0.116214699948253,0.0284007113626986,0.0356513883128389,0.0926454621108175,0.0284007113626986,0.0401678965007979,4.23612285493531,6.17994751000599,1.01302548528996,0.0514355639984748,0.0330299308409955,0.0333224121741243,0.0514355639984748,0.0397803033615488,4.68592517405497
"8",1,368,20,3,168,0.333333333333333,4,185,81,1,0.05576108,0.75,0,1,0,3.5,1.28,0,1,0.554818937245336,0.605675675675676,0.551952086766419,182.606989812499,1.58180336094409,0.142592592592593,0.889903846153846,0.503639110127096,0.142592592592593,0.221450486551595,23,105.426053339642,11.0382830621886,0.504938271604938,0.523557692307692,0.452649077015374,0.504938271604938,0.47696431762053,90.45,0.0341228276961346,0.039390028356624,0.0238390477134978,10.9985218875268,0.263451364613496,0.0295632242655744,0.0260027413330956,0.0821884010369462,0.0295632242655744,0.0420172221760115,3.4027852368936,7.30480658781816,0.994626255569341,0.0520556655267325,0.0525245378731851,0.0439814558437275,0.0520556655267325,0.0458942799994811,5.4817880294663
"9",1,418,20,3,168,0.333333333333333,4,185,81,1,0.05576108,0.75,0,1,0,4,1.28,0,1,0.542873832031673,0.594324324324324,0.53826339461051,212.043585444083,1.67641279532788,0.122839506172839,0.897596153846154,0.483507751756518,0.122839506172839,0.195006976150716,20.6,122.719740082002,12.7382225353632,0.508641975308642,0.519711538461539,0.451655799650496,0.508641975308642,0.478237728186161,91.15,0.0244711533886844,0.0222853323645633,0.03110882109163,9.40928476252328,0.174987143649286,0.0311487854235347,0.0250107030966041,0.0876072962585235,0.0311487854235347,0.044312224477795,3.53031980063235,7.11445370564353,1.04784764263148,0.0577120967537375,0.040008733669708,0.0435541015806814,0.0577120967537375,0.0489525903607624,4.0428624564911
"10",1,601,20,3,168,0.333333333333333,4,185,81,1,0.05576108,0.75,0,1,0,0,0.3,0,1,0.202587318144248,0.633783783783784,0.0167012656622571,38.22509504553,0.716522938048062,0.245679012345679,0.860096153846154,0.575218591321434,0.245679012345679,0.341607066210914,34.45,22.1220039724766,2.403553415985,0.543827160493827,0.558173076923077,0.489520532199756,0.543827160493827,0.515056735796941,90,0.0493128104714583,0.0385774095006184,0.0186362152463499,1.29541988048182,0.0417632140227265,0.0624262052414136,0.032039049622551,0.0686308829441925,0.0624262052414136,0.0681013532698454,6.89374239513824,1.46157858586118,0.203276233118131,0.0496217412161768,0.0406123087643432,0.0410951882824784,0.0496217412161768,0.0439055238422247,3.58358832222088
"11",1,651,20,3,168,0.333333333333333,4,185,81,1,0.05576108,0.75,0,1,0,0.5,0.3,0,1,0.218904420723162,0.623783783783784,0.155350645943733,65.0481575343523,0.922823928277777,0.210493827160494,0.848557692307692,0.523001953153295,0.210493827160494,0.298898328651146,32.8,37.8138917687976,4.1260903940207,0.516666666666667,0.510096153846154,0.451231163629553,0.516666666666667,0.481309525346619,92.8,0.0370902785499338,0.0365940672034209,0.0427255702614552,3.44694206193237,0.0898089490716252,0.0374623618194694,0.0384457204314796,0.0759934259737866,0.0374623618194694,0.0458986156278366,4.99051732367444,2.8398140435914,0.370658893591375,0.0525731873524658,0.0492740629158783,0.0396818134275119,0.0525731873524658,0.0431225406513119,5.71793116801044
